timestamp,federation,strategy,num_server_rounds,local_epochs,repeat,exit_code,duration_sec
2025-09-23T03:32:23+00:00,small-simulation,0,10,3,7,0,135
2025-09-23T03:34:34+00:00,small-simulation,0,10,3,8,0,130
2025-09-23T03:36:58+00:00,small-simulation,0,10,3,9,0,143
2025-09-23T03:39:14+00:00,small-simulation,0,10,3,10,0,135
2025-09-23T03:41:30+00:00,small-simulation,0,10,3,11,0,135
2025-09-23T03:43:45+00:00,small-simulation,0,10,3,12,0,134
2025-09-23T03:45:45+00:00,small-simulation,0,10,3,13,0,119
2025-09-23T03:48:01+00:00,small-simulation,0,10,3,14,0,135
2025-09-23T03:50:30+00:00,small-simulation,0,10,3,15,0,148
2025-09-23T03:52:56+00:00,small-simulation,0,10,3,16,0,145
2025-09-23T03:55:21+00:00,small-simulation,0,10,3,17,0,144
2025-09-23T03:57:32+00:00,small-simulation,0,10,3,18,0,130
2025-09-23T03:59:45+00:00,small-simulation,0,10,3,19,0,132
2025-09-23T04:01:58+00:00,small-simulation,0,10,3,20,0,132
2025-09-23T04:04:22+00:00,small-simulation,0,10,3,21,0,143
2025-09-23T04:06:32+00:00,small-simulation,0,10,3,22,0,129
2025-09-23T04:08:49+00:00,small-simulation,0,10,3,23,0,136
2025-09-23T04:10:50+00:00,small-simulation,0,10,3,24,0,120
2025-09-23T04:12:53+00:00,small-simulation,0,10,3,25,0,122
2025-09-23T04:15:11+00:00,small-simulation,0,10,3,26,0,137
2025-09-23T04:17:14+00:00,small-simulation,0,10,3,27,0,122
2025-09-23T04:19:27+00:00,small-simulation,0,10,3,28,0,132
2025-09-23T04:21:45+00:00,small-simulation,0,10,3,29,0,137
2025-09-23T04:24:16+00:00,small-simulation,0,10,3,30,0,150
2025-09-23T04:27:27+00:00,small-simulation,0,10,5,1,0,190
2025-09-23T04:31:09+00:00,small-simulation,0,10,5,2,0,221
2025-09-23T04:34:23+00:00,small-simulation,0,10,5,3,0,192
2025-09-23T04:37:19+00:00,small-simulation,0,10,5,4,0,175
2025-09-23T04:40:57+00:00,small-simulation,0,10,5,5,0,217
2025-09-23T04:44:14+00:00,small-simulation,0,10,5,6,0,196
2025-09-23T04:47:52+00:00,small-simulation,0,10,5,7,0,217
2025-09-23T04:50:56+00:00,small-simulation,0,10,5,8,0,183
2025-09-23T04:54:12+00:00,small-simulation,0,10,5,9,0,195
2025-09-23T04:57:35+00:00,small-simulation,0,10,5,10,0,202
2025-09-23T05:00:48+00:00,small-simulation,0,10,5,11,0,192
2025-09-23T05:03:38+00:00,small-simulation,0,10,5,12,0,169
2025-09-23T05:06:56+00:00,small-simulation,0,10,5,13,0,197
2025-09-23T05:10:18+00:00,small-simulation,0,10,5,14,0,201
2025-09-23T05:13:05+00:00,small-simulation,0,10,5,15,0,166
2025-09-23T05:16:17+00:00,small-simulation,0,10,5,16,0,191
2025-09-23T05:19:26+00:00,small-simulation,0,10,5,17,0,188
2025-09-23T05:22:53+00:00,small-simulation,0,10,5,18,0,206
2025-09-23T05:26:31+00:00,small-simulation,0,10,5,19,0,217
2025-09-23T05:29:52+00:00,small-simulation,0,10,5,20,0,200
2025-09-23T05:33:04+00:00,small-simulation,0,10,5,21,0,191
2025-09-23T05:36:14+00:00,small-simulation,0,10,5,22,0,189
2025-09-23T05:39:43+00:00,small-simulation,0,10,5,23,0,208
2025-09-23T05:42:34+00:00,small-simulation,0,10,5,24,0,170
2025-09-23T05:45:52+00:00,small-simulation,0,10,5,25,0,197
2025-09-23T05:49:36+00:00,small-simulation,0,10,5,26,0,223
2025-09-23T05:53:08+00:00,small-simulation,0,10,5,27,0,211
2025-09-23T05:56:04+00:00,small-simulation,0,10,5,28,0,175
2025-09-23T05:59:47+00:00,small-simulation,0,10,5,29,0,222
2025-09-23T06:03:08+00:00,small-simulation,0,10,5,30,0,200
2025-09-23T06:07:52+00:00,small-simulation,0,50,1,1,0,283
2025-09-23T06:12:30+00:00,small-simulation,0,50,1,2,0,277
2025-09-23T06:17:24+00:00,small-simulation,0,50,1,3,0,293
2025-09-23T06:22:11+00:00,small-simulation,0,50,1,4,0,286
2025-09-23T06:26:49+00:00,small-simulation,0,50,1,5,0,277
2025-09-23T06:31:29+00:00,small-simulation,0,50,1,6,0,279
2025-09-23T06:36:08+00:00,small-simulation,0,50,1,7,0,278
2025-09-23T06:40:32+00:00,small-simulation,0,50,1,8,0,263
2025-09-23T06:44:53+00:00,small-simulation,0,50,1,9,0,260
2025-09-23T06:49:28+00:00,small-simulation,0,50,1,10,0,274
2025-09-23T06:54:03+00:00,small-simulation,0,50,1,11,0,274
2025-09-23T06:58:56+00:00,small-simulation,0,50,1,12,0,292
2025-09-23T07:03:44+00:00,small-simulation,0,50,1,13,0,287
2025-09-23T07:08:55+00:00,small-simulation,0,50,1,14,0,310
2025-09-23T07:13:23+00:00,small-simulation,0,50,1,15,0,267
2025-09-23T07:18:15+00:00,small-simulation,0,50,1,16,0,291
